Title,Link,Image Link,Rating,Price,Availability,category,UPC,p_type,price_exc_tax,price_inc_tax,tax,books_avail,No_of_reviews
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,https://books.toscrape.com//media/cache/68/ca/68caaf9ac41964d5167a3eb67c638393.jpg,Four,£44.74,In stock,Science,3edcccc4f341fb1a,Books,£44.74,£44.74,£0.00,14,0
Someone Like You (The Harrisons #2),https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html,https://books.toscrape.com//media/cache/e3/d0/e3d05227f3fc24f0e0c84ccebe108fb0.jpg,Five,£52.79,In stock,Contemporary,a278db6b2b09cf9f,Books,£52.79,£52.79,£0.00,14,0
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,https://books.toscrape.com//media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg,Four,£35.43,In stock,Sequential Art,394f6d30cafc3edb,Books,£35.43,£35.43,£0.00,14,0
Shtum,https://books.toscrape.com/catalogue/shtum_733/index.html,https://books.toscrape.com//media/cache/03/16/0316bb6f4785ac69c0643109201bad5d.jpg,Four,£55.84,In stock,Fiction,830fb3967c74866d,Books,£55.84,£55.84,£0.00,14,0
See America: A Celebration of Our National Parks & Treasured Sites,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com//media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,Three,£48.87,In stock,Travel,f9705c362f070608,Books,£48.87,£48.87,£0.00,14,0
salt.,https://books.toscrape.com/catalogue/salt_731/index.html,https://books.toscrape.com//media/cache/3f/41/3f4160ada0b16e3c64cd2d0dffe781c8.jpg,Four,£46.78,In stock,Poetry,86cbddb61ea78bb7,Books,£46.78,£46.78,£0.00,14,0
Robin War,https://books.toscrape.com/catalogue/robin-war_730/index.html,https://books.toscrape.com//media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg,Three,£47.82,In stock,Sequential Art,85b2176b3b194030,Books,£47.82,£47.82,£0.00,14,0
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,https://books.toscrape.com//media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg,Two,£25.48,In stock,Sequential Art,31e2e2d9cca3778f,Books,£25.48,£25.48,£0.00,14,0
Rain Fish,https://books.toscrape.com/catalogue/rain-fish_728/index.html,https://books.toscrape.com//media/cache/bb/e2/bbe26db72b8a32117bfe4981b7cc8147.jpg,Three,£23.57,In stock,Childrens,a6454e329f872b78,Books,£23.57,£23.57,£0.00,14,0
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,https://books.toscrape.com//media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg,Five,£50.89,In stock,Poetry,aa35446aab16017f,Books,£50.89,£50.89,£0.00,14,0
Pet Sematary,https://books.toscrape.com/catalogue/pet-sematary_726/index.html,https://books.toscrape.com//media/cache/7a/72/7a72465b21dbf998323e37b31f9a3f4a.jpg,Three,£10.56,In stock,Horror,af58a74e4b2a23a0,Books,£10.56,£10.56,£0.00,14,0
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html,https://books.toscrape.com//media/cache/9c/da/9cda4893c7fce0c1c8eaa34fb092aa04.jpg,Three,£52.15,In stock,Self Help,8ecf0356a3878811,Books,£52.15,£52.15,£0.00,14,0
Once Was a Time,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html,https://books.toscrape.com//media/cache/97/12/971212afa8e4ff49d92f678bc889d8b7.jpg,Two,£18.28,In stock,Childrens,e34efcc824685332,Books,£18.28,£18.28,£0.00,14,0
Old School (Diary of a Wimpy Kid #10),https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html,https://books.toscrape.com//media/cache/df/5d/df5d172abe87deda6d533e3e908d27d8.jpg,Five,£11.83,In stock,Humor,02b74068fa98d8a4,Books,£11.83,£11.83,£0.00,14,0
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,https://books.toscrape.com//media/cache/b5/6f/b56ff04effb66fe701a22abd4a7f1667.jpg,Two,£21.95,In stock,Nonfiction,132ec5e8c984adef,Books,£21.95,£21.95,£0.00,14,0
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,https://books.toscrape.com//media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg,Two,£38.39,In stock,Sequential Art,71e36f33981ddb74,Books,£38.39,£38.39,£0.00,14,0
My Name Is Lucy Barton,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,https://books.toscrape.com//media/cache/ca/b1/cab150e556b5fab663a9fec00ed97943.jpg,One,£41.56,In stock,Fiction,727bf2b86b19ad88,Books,£41.56,£41.56,£0.00,14,0
My Mrs. Brown,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html,https://books.toscrape.com//media/cache/e0/79/e07906c1e507055da9a2260a74f58273.jpg,Three,£24.48,In stock,Fiction,cc82685d9f49bc2c,Books,£24.48,£24.48,£0.00,14,0
My Kind of Crazy,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html,https://books.toscrape.com//media/cache/46/6e/466e9636819aad1126ac6cefb5313ba8.jpg,One,£40.36,In stock,Young Adult,137b0b2775701e11,Books,£40.36,£40.36,£0.00,14,0
Mr. Mercedes (Bill Hodges Trilogy #1),https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html,https://books.toscrape.com//media/cache/a7/f0/a7f092a7b79f848df0226f808fed489b.jpg,One,£28.90,In stock,Fiction,caa2e5b3fb1b2d4c,Books,£28.90,£28.90,£0.00,14,0
More Than Music (Chasing the Dream #1),https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html,https://books.toscrape.com//media/cache/3f/e7/3fe7073a5caac81929524d2d9488f928.jpg,Two,£37.61,In stock,Add a comment,47d47155e89c8be7,Books,£37.61,£37.61,£0.00,14,0
Made to Stick: Why Some Ideas Survive and Others Die,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,https://books.toscrape.com//media/cache/e2/2e/e22e4a82d97f9f0689d5295a98f5dcff.jpg,Five,£38.85,In stock,Business,b96fc7a0ea7d4b45,Books,£38.85,£38.85,£0.00,14,0
Luis Paints the World,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,https://books.toscrape.com//media/cache/85/e7/85e75d5a9309da5807c82decf3d90263.jpg,Three,£53.95,In stock,Childrens,5b43cae640f2338a,Books,£53.95,£53.95,£0.00,14,0
Luckiest Girl Alive,https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html,https://books.toscrape.com//media/cache/81/c0/81c0a1ce03db82568e2496db945a8227.jpg,Three,£49.83,In stock,Default,d512871626a5e588,Books,£49.83,£49.83,£0.00,14,0
Lowriders to the Center of the Earth (Lowriders in Space #2),https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,https://books.toscrape.com//media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg,Two,£51.51,In stock,Sequential Art,a10c7515834240f3,Books,£51.51,£51.51,£0.00,14,0
Love Is a Mix Tape (Music #1),https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,https://books.toscrape.com//media/cache/a2/6d/a26d8449abb3381e09126eda5f4e8151.jpg,One,£18.03,In stock,Music,adb5f51c2e2ab13f,Books,£18.03,£18.03,£0.00,14,0
Looking for Lovely: Collecting the Moments that Matter,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,https://books.toscrape.com//media/cache/61/1e/611e1804ad968e309a5f788d4ebc1cb4.jpg,Five,£29.14,In stock,Nonfiction,24af96df0bafb925,Books,£29.14,£29.14,£0.00,14,0
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html,https://books.toscrape.com//media/cache/e9/5e/e95e82f09681709bb0f927341dda274e.jpg,Four,£46.91,In stock,Default,17fb5a88180f9904,Books,£46.91,£46.91,£0.00,14,0
Let It Out: A Journey Through Journaling,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html,https://books.toscrape.com//media/cache/51/fc/51fcd3e9384894e6a53a753d2ab856ee.jpg,Five,£26.79,In stock,Nonfiction,1174156c4a0eccaa,Books,£26.79,£26.79,£0.00,14,0
Lady Midnight (The Dark Artifices #1),https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html,https://books.toscrape.com//media/cache/89/a6/89a61d48e93bc92537c0a2cb2c0094bb.jpg,Five,£16.28,In stock,Default,708345c9897fd7c5,Books,£16.28,£16.28,£0.00,14,0
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html,https://books.toscrape.com//media/cache/fe/67/fe67c381d6a0c4c00a7c191d16939554.jpg,One,£19.55,In stock,Food and Drink,245e6bf08b8d2955,Books,£19.55,£19.55,£0.00,14,0
Island of Dragons (Unwanteds #7),https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html,https://books.toscrape.com//media/cache/75/b9/75b99691594fde72ccb1831624cfeff6.jpg,One,£29.65,In stock,Fantasy,2b52334fab158861,Books,£29.65,£29.65,£0.00,14,0
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,https://books.toscrape.com//media/cache/ea/7b/ea7bcac4b27a5bf6d4f8125bb7af3361.jpg,Four,£25.98,In stock,Humor,b8a8ff84233f0570,Books,£25.98,£25.98,£0.00,14,0
I Am Pilgrim (Pilgrim #1),https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html,https://books.toscrape.com//media/cache/ed/07/ed07c9e7c53d4f33a6eb7d41eb0e6d4a.jpg,Four,£10.60,In stock,Fiction,aeff7b87a8e83ebb,Books,£10.60,£10.60,£0.00,14,0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,https://books.toscrape.com//media/cache/b5/a9/b5a90d1c36a96513942f006345ace3d2.jpg,Five,£14.75,In stock,Humor,fbb21a2f71f4d981,Books,£14.75,£14.75,£0.00,14,0
"Hush, Hush (Hush, Hush #1)",https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html,https://books.toscrape.com//media/cache/2a/b9/2ab91479fe480e964f319fa8ac6991b2.jpg,Three,£47.02,In stock,Default,6b6cd77fbc91b7a6,Books,£47.02,£47.02,£0.00,14,0
Hold Your Breath (Search and Rescue #1),https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html,https://books.toscrape.com//media/cache/0b/89/0b89c3b317d0f89da48356a0b5959c1e.jpg,One,£28.82,In stock,Romance,0b165bd4b9f42fd5,Books,£28.82,£28.82,£0.00,14,0
Hamilton: The Revolution,https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html,https://books.toscrape.com//media/cache/34/ef/34ef0844cb1fbca6ab73444087fcf0e6.jpg,Three,£58.79,In stock,Nonfiction,afa829857f82f99e,Books,£58.79,£58.79,£0.00,14,0
Greek Mythic History,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html,https://books.toscrape.com//media/cache/36/cf/36cf56c7bdf35aadbcc6f05a8e8d8fcb.jpg,Five,£10.23,In stock,Default,f201f263d8c23f97,Books,£10.23,£10.23,£0.00,14,0
God: The Most Unpleasant Character in All Fiction,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,https://books.toscrape.com//media/cache/1f/db/1fdb125bcb8cee71f3404b4dc293348c.jpg,Five,£30.03,In stock,Religion,eec424a84c9e4c68,Books,£30.03,£30.03,£0.00,14,0
Glory over Everything: Beyond The Kitchen House,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,https://books.toscrape.com//media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,Three,£45.84,In stock,Historical Fiction,de4b403cb629a29f,Books,£45.84,£45.84,£0.00,14,0
Feathers: Displays of Brilliant Plumage,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html,https://books.toscrape.com//media/cache/f2/ee/f2ee668cf593ff13a9560c2801e9c2a2.jpg,Three,£49.05,In stock,Art,9194ae88379dbf1a,Books,£49.05,£49.05,£0.00,14,0
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html,https://books.toscrape.com//media/cache/11/e2/11e227bdb5fe8b43dcc2366a157a47c2.jpg,Four,£15.06,In stock,Nonfiction,ac4dde0d1be05de0,Books,£15.06,£15.06,£0.00,14,0
Every Last Word,https://books.toscrape.com/catalogue/every-last-word_693/index.html,https://books.toscrape.com//media/cache/92/e7/92e7f0a8ca38964fea93e911aefbf6c9.jpg,Three,£46.47,In stock,Default,a2bd4ca82d908442,Books,£46.47,£46.47,£0.00,14,0
Eligible (The Austen Project #4),https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html,https://books.toscrape.com//media/cache/26/3b/263bf5d128bf18553ea8da8bb19e9a0c.jpg,Three,£27.09,In stock,Fiction,9eaf58b03a2779cc,Books,£27.09,£27.09,£0.00,14,0
El Deafo,https://books.toscrape.com/catalogue/el-deafo_691/index.html,https://books.toscrape.com//media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg,Five,£57.62,In stock,Sequential Art,27c5968fe43cc06e,Books,£57.62,£57.62,£0.00,14,0
Eight Hundred Grapes,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html,https://books.toscrape.com//media/cache/8c/01/8c011092f05791961d25ec3cfcf0a832.jpg,Four,£14.39,In stock,Fiction,1d6dd0c87d90fe92,Books,£14.39,£14.39,£0.00,14,0
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html,https://books.toscrape.com//media/cache/b1/e1/b1e15eef42c0d71596f9f9ad4e9f48b0.jpg,Five,£51.75,In stock,Nonfiction,a01f6d368ef64dc5,Books,£51.75,£51.75,£0.00,14,0
"Eat Fat, Get Thin",https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html,https://books.toscrape.com//media/cache/62/3f/623f8e7f7432ce744f4318aae8166ce4.jpg,Two,£54.07,In stock,Health,047dfa57ba0bf638,Books,£54.07,£54.07,£0.00,14,0
Don't Get Caught,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html,https://books.toscrape.com//media/cache/b2/df/b2df2ea409c5cf28538b67aff424b11f.jpg,One,£55.35,In stock,Young Adult,ad2887ce04583910,Books,£55.35,£55.35,£0.00,14,0
Doctor Sleep (The Shining #2),https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html,https://books.toscrape.com//media/cache/55/bf/55bfc858c1cb19867e41415532ae43c6.jpg,Two,£40.12,In stock,Horror,bf5de316a5e9a4ab,Books,£40.12,£40.12,£0.00,14,0
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,https://books.toscrape.com//media/cache/8f/80/8f8074d9f035c2a0ef8595ad89f7bcc8.jpg,Five,£37.51,In stock,Fantasy,3c6fe637a0180b01,Books,£37.51,£37.51,£0.00,14,0
Dear Mr. Knightley,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html,https://books.toscrape.com//media/cache/78/87/78873811f8c1d75a0c26d8cc8e6a9dbc.jpg,Five,£11.21,In stock,Fiction,94a958ea126cdcd5,Books,£11.21,£11.21,£0.00,14,0
Daily Fantasy Sports,https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html,https://books.toscrape.com//media/cache/44/ff/44ff81a2ea37d3946605e205ddd538eb.jpg,One,£36.58,In stock,Default,0e94a089328be4bc,Books,£36.58,£36.58,£0.00,14,0
Crazy Love: Overwhelmed by a Relentless God,https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html,https://books.toscrape.com//media/cache/03/f1/03f1e337afadba35687672b5625a9757.jpg,Two,£47.72,In stock,Christian,4b9d9cfe0f435788,Books,£47.72,£47.72,£0.00,14,0
Cometh the Hour (The Clifton Chronicles #6),https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html,https://books.toscrape.com//media/cache/55/11/5511a4296fbd484dcaa89c8a2d25965d.jpg,Three,£25.01,In stock,Fiction,28cf0d1c51b491e5,Books,£25.01,£25.01,£0.00,14,0
Code Name Verity (Code Name Verity #1),https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html,https://books.toscrape.com//media/cache/f5/58/f55886d1bf600529a35e1bd932c78ca0.jpg,Four,£22.13,In stock,Add a comment,33a3e0e3ffde0dcd,Books,£22.13,£22.13,£0.00,14,0
Clockwork Angel (The Infernal Devices #1),https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html,https://books.toscrape.com//media/cache/ff/0e/ff0ee0002f510112b6d7a88f53366e1d.jpg,One,£44.14,In stock,Default,42b0c50fc44140ec,Books,£44.14,£44.14,£0.00,14,0
City of Glass (The Mortal Instruments #3),https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html,https://books.toscrape.com//media/cache/00/08/0008e65aa431ed3625ad3a4352f8e90d.jpg,Four,£56.02,In stock,Fantasy,966ebb738e0f9d9b,Books,£56.02,£56.02,£0.00,14,0
City of Fallen Angels (The Mortal Instruments #4),https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html,https://books.toscrape.com//media/cache/c9/40/c940b6c329ecc39aaed2ab0140592a4b.jpg,Four,£11.23,In stock,Default,1e264c677d4ee4ae,Books,£11.23,£11.23,£0.00,14,0
City of Bones (The Mortal Instruments #1),https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html,https://books.toscrape.com//media/cache/96/af/96af4aaf25ab49b057c10b5b7eb7652c.jpg,One,£43.28,In stock,Default,5b987e54ee72525c,Books,£43.28,£43.28,£0.00,14,0
City of Ashes (The Mortal Instruments #2),https://books.toscrape.com/catalogue/city-of-ashes-the-mortal-instruments-2_675/index.html,https://books.toscrape.com//media/cache/68/da/68dab382d535305ca6025be9921df0d1.jpg,One,£47.27,In stock,Default,8a6ec2761f91dad2,Books,£47.27,£47.27,£0.00,14,0
Cell,https://books.toscrape.com/catalogue/cell_674/index.html,https://books.toscrape.com//media/cache/0b/97/0b97282ed82b771ed328e05386a84adb.jpg,Four,£20.29,In stock,Add a comment,bfbb54bc8cdeed2b,Books,£20.29,£20.29,£0.00,14,0
Catching Jordan (Hundred Oaks),https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html,https://books.toscrape.com//media/cache/ad/ac/adac97366586d261feab30bf5220756e.jpg,Three,£50.83,In stock,Young Adult,e2e7b683b4c15b7d,Books,£50.83,£50.83,£0.00,14,0
"Carry On, Warrior: Thoughts on Life Unarmed",https://books.toscrape.com/catalogue/carry-on-warrior-thoughts-on-life-unarmed_672/index.html,https://books.toscrape.com//media/cache/dd/f5/ddf5da673bb34a74a81faf7271c7ca13.jpg,Three,£31.85,In stock,Default,1b0fc9f777cad045,Books,£31.85,£31.85,£0.00,14,0
Carrie,https://books.toscrape.com/catalogue/carrie_671/index.html,https://books.toscrape.com//media/cache/c5/6f/c56f37eb53888765eb55f86fb7381c2f.jpg,Two,£46.23,In stock,Default,5f22418922fa728b,Books,£46.23,£46.23,£0.00,14,0
Buying In: The Secret Dialogue Between What We Buy and Who We Are,https://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html,https://books.toscrape.com//media/cache/f2/fa/f2faa289117546efa0b4068a07778ab0.jpg,Four,£37.80,In stock,Nonfiction,16ef91b9d827859c,Books,£37.80,£37.80,£0.00,14,0
Brain on Fire: My Month of Madness,https://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html,https://books.toscrape.com//media/cache/88/aa/88aad1204951e0900906173b086e6695.jpg,Five,£49.32,In stock,Nonfiction,a80f66b254fe9eb3,Books,£49.32,£49.32,£0.00,14,0
Batman: Europa,https://books.toscrape.com/catalogue/batman-europa_668/index.html,https://books.toscrape.com//media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg,Two,£32.01,In stock,Sequential Art,bf68dcb5fad3cc8c,Books,£32.01,£32.01,£0.00,14,0
Barefoot Contessa Back to Basics,https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html,https://books.toscrape.com//media/cache/b8/38/b838b65e0e1ac3a9b498dfb1bf004420.jpg,One,£28.01,In stock,Food and Drink,999912e63a3262ae,Books,£28.01,£28.01,£0.00,14,0
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html,https://books.toscrape.com//media/cache/74/aa/74aa29b1ba4147eaf5b46671bf235861.jpg,Five,£50.62,In stock,Food and Drink,0e0da9192a025efc,Books,£50.62,£50.62,£0.00,14,0
Balloon Animals,https://books.toscrape.com/catalogue/balloon-animals_665/index.html,https://books.toscrape.com//media/cache/6e/23/6e2324cae6335e8e98c8b46597afc9a3.jpg,Three,£17.03,In stock,Fiction,9b65f676984c9f0c,Books,£17.03,£17.03,£0.00,14,0
Art Ops Vol. 1,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html,https://books.toscrape.com//media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg,Three,£48.80,In stock,Sequential Art,ffdc825785c0ede8,Books,£48.80,£48.80,£0.00,14,0
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html,https://books.toscrape.com//media/cache/61/1a/611aba0ef5b859ba1977ef30677b0194.jpg,Four,£58.14,In stock,Young Adult,41164b8ac02a2c42,Books,£58.14,£58.14,£0.00,14,0
Angels Walking (Angels Walking #1),https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html,https://books.toscrape.com//media/cache/50/0e/500eeb810e940424827580574e46852c.jpg,Two,£34.20,In stock,Add a comment,1fbb5f786e53a0ce,Books,£34.20,£34.20,£0.00,14,0
Angels & Demons (Robert Langdon #1),https://books.toscrape.com/catalogue/angels-demons-robert-langdon-1_661/index.html,https://books.toscrape.com//media/cache/b4/2a/b42a187c37de904f776070c57f51c756.jpg,Three,£51.48,In stock,Default,ad41c24ccac0c7ce,Books,£51.48,£51.48,£0.00,14,0
All the Light We Cannot See,https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html,https://books.toscrape.com//media/cache/41/c3/41c37f7f0e03ee1144dd6fa89483b5d9.jpg,Five,£29.87,In stock,Historical,39861fc1c0845d15,Books,£29.87,£29.87,£0.00,14,0
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,https://books.toscrape.com//media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg,Two,£10.90,In stock,Sequential Art,5319169a72714c62,Books,£10.90,£10.90,£0.00,14,0
Abstract City,https://books.toscrape.com/catalogue/abstract-city_658/index.html,https://books.toscrape.com//media/cache/e7/70/e77019ebd71bcf6badb085bddf47c413.jpg,Five,£56.37,In stock,Nonfiction,cf1aa2fc02a7d1e0,Books,£56.37,£56.37,£0.00,14,0
A Time of Torment (Charlie Parker #14),https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com//media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,Five,£48.35,In stock,Mystery,4416c474713ec1f5,Books,£48.35,£48.35,£0.00,14,0
A Study in Scarlet (Sherlock Holmes #1),https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com//media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,Two,£16.73,In stock,Mystery,63ee5bc46066a8a8,Books,£16.73,£16.73,£0.00,14,0
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,https://books.toscrape.com//media/cache/9b/20/9b2076ce7414103a093ce2459d089969.jpg,Two,£56.48,In stock,Add a comment,c1379d3744f1dd2c,Books,£56.48,£56.48,£0.00,14,0
A People's History of the United States,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html,https://books.toscrape.com//media/cache/75/20/75200336c141156746000f7055df344a.jpg,Two,£40.79,In stock,Add a comment,1ad06aed9349af46,Books,£40.79,£40.79,£0.00,14,0
A Man Called Ove,https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html,https://books.toscrape.com//media/cache/9c/f1/9cf1f4a47b8d08909fc092e6ae598d83.jpg,One,£39.72,In stock,Fiction,8682c03de6a844ff,Books,£39.72,£39.72,£0.00,14,0
A Distant Mirror: The Calamitous 14th Century,https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html,https://books.toscrape.com//media/cache/41/d5/41d5fa6a81cdbcbe6b0b15757a4c9144.jpg,Three,£14.58,In stock,History,d5e0526e1ab682a3,Books,£14.58,£14.58,£0.00,14,0
A Brush of Wings (Angels Walking #3),https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html,https://books.toscrape.com//media/cache/4d/16/4d163d43cb4aa624e599330a39abace5.jpg,One,£55.51,In stock,Add a comment,01a177623cce9596,Books,£55.51,£55.51,£0.00,14,0
1491: New Revelations of the Americas Before Columbus,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html,https://books.toscrape.com//media/cache/88/75/8875f384ce9103281b7f6e86a2b8204d.jpg,Three,£21.80,In stock,History,6e8e5626ac4d279e,Books,£21.80,£21.80,£0.00,14,0
